,Name,DepTime,ArrTime,NetDuration,Stops,DepartureLoc,ArrivalLoc,Varient,Price
0,IndiGo,13:00,15:35,2h 35m,Non Stop,New Delhi,Bangalore,6E-5186,"8,159"
1,IndiGo,08:20,11:00,2h 40m,Non Stop,New Delhi,Bangalore,6E-308,"8,159"
2,Go First,05:50,08:35,2h 45m,Non Stop,New Delhi,Bangalore,G8-113,"8,159"
3,IndiGo,05:50,08:35,2h 45m,Non Stop,New Delhi,Bangalore,6E-6612,"8,159"
4,IndiGo,02:25,05:15,2h 50m,Non Stop,New Delhi,Bangalore,6E-5036,"8,159"
5,IndiGo,22:55,01:45,2h 50m,Non Stop,New Delhi,Bangalore,6E-6565,"8,159"
6,SpiceJet,06:05,09:00,2h 55m,Non Stop,New Delhi,Bangalore,SG-191,"8,159"
7,IndiGo,06:55,09:50,2h 55m,Non Stop,New Delhi,Bangalore,6E-5009,"8,159"
8,IndiGo,15:20,18:15,2h 55m,Non Stop,New Delhi,Bangalore,6E-781,"8,159"
9,Go First,16:45,21:35,4h 50m,1 Stop,New Delhi,Bangalore,G8-2513/242,"8,159"
10,Go First,16:00,20:55,4h 55m,1 Stop,New Delhi,Bangalore,G8-406/408,"8,159"
11,Go First,02:40,07:45,5h 05m,1 Stop,New Delhi,Bangalore,G8-2501/317,"8,159"
12,IndiGo,12:45,17:55,5h 10m,1 Stop,New Delhi,Bangalore,6E-2004/6319,"8,159"
13,Go First,16:45,22:20,5h 35m,1 Stop,New Delhi,Bangalore,G8-717/804,"8,159"
14,Go First,08:35,14:20,5h 45m,1 Stop,New Delhi,Bangalore,G8-1404/404,"8,159"
15,Go First,18:20,00:10,5h 50m,1 Stop,New Delhi,Bangalore,G8-171/284,"8,159"
16,Go First,15:45,21:45,6h 00m,1 Stop,New Delhi,Bangalore,G8-392/398,"8,159"
17,IndiGo,17:55,23:55,6h 00m,1 Stop,New Delhi,Bangalore,6E-2143/103,"8,159"
18,IndiGo,12:45,19:20,6h 35m,1 Stop,New Delhi,Bangalore,6E-2004/6417,"8,159"
19,IndiGo,23:20,06:05,6h 45m,1 Stop,New Delhi,Bangalore,6E-147/6336,"8,159"
20,Go First,16:45,00:10,7h 25m,1 Stop,New Delhi,Bangalore,G8-2513/284,"8,159"
21,SpiceJet,09:20,16:50,7h 30m,1 Stop,New Delhi,Bangalore,SG-8185/538,"8,159"
22,IndiGo,01:50,09:30,7h 40m,1 Stop,New Delhi,Bangalore,6E-2325/151,"8,159"
23,Go First,07:00,14:45,7h 45m,1 Stop,New Delhi,Bangalore,G8-334/383,"8,159"
24,Go First,09:15,17:25,8h 10m,1 Stop,New Delhi,Bangalore,G8-2509/806,"8,159"
25,IndiGo,15:00,23:40,8h 40m,1 Stop,New Delhi,Bangalore,6E-2187/6505,"8,159"
26,IndiGo,17:55,02:35,8h 40m,1 Stop,New Delhi,Bangalore,6E-2143/284,"8,159"
27,SpiceJet,15:10,23:55,8h 45m,1 Stop,New Delhi,Bangalore,SG-957/325,"8,159"
28,SpiceJet,11:55,21:00,9h 05m,1 Stop,New Delhi,Bangalore,SG-8361/321,"8,159"
29,SpiceJet,09:35,20:40,11h 05m,1 Stop,New Delhi,Bangalore,SG-724/767,"8,159"
30,SpiceJet,11:55,23:55,12h 00m,1 Stop,New Delhi,Bangalore,SG-8171/325,"8,159"
31,SpiceJet,19:30,08:25,12h 55m,1 Stop,New Delhi,Bangalore,SG-8254/516,"8,159"
32,SpiceJet,18:25,08:25,14h 00m,1 Stop,New Delhi,Bangalore,SG-8251/516,"8,159"
33,SpiceJet,18:25,09:00,14h 35m,1 Stop,New Delhi,Bangalore,SG-8103/3028,"8,159"
34,SpiceJet,07:05,08:25,25h 20m,1 Stop,New Delhi,Bangalore,SG-8263/516,"8,159"
35,Air India,06:10,08:55,2h 45m,Non Stop,New Delhi,Bangalore,AI-803,"8,160"
36,Vistara,06:15,09:00,2h 45m,Non Stop,New Delhi,Bangalore,UK-811,"8,160"
37,Air Asia,15:30,20:40,5h 10m,1 Stop,New Delhi,Bangalore,I5-768/1427,"8,346"
38,Air Asia,10:40,16:25,5h 45m,1 Stop,New Delhi,Bangalore,I5-552/1455,"8,346"
39,Air Asia,16:15,22:25,6h 10m,2 Stop(s),New Delhi,Bangalore,I5-713/1231,"8,346"
40,Air Asia,06:05,13:00,6h 55m,1 Stop,New Delhi,Bangalore,I5-711/1453,"8,346"
41,Air Asia,08:10,10:40,2h 30m,Non Stop,New Delhi,Bangalore,I5-740,"8,403"
42,Air Asia,09:35,12:25,2h 50m,Non Stop,New Delhi,Bangalore,I5-1529,"8,403"
43,Air Asia,21:40,00:30,2h 50m,Non Stop,New Delhi,Bangalore,I5-1732,"8,403"
44,IndiGo,09:15,11:55,2h 40m,Non Stop,New Delhi,Bangalore,6E-6827,"8,632"
45,Air Asia,21:00,23:50,2h 50m,Non Stop,New Delhi,Bangalore,I5-721,"8,685"
46,IndiGo,08:30,15:30,7h 00m,1 Stop,New Delhi,Bangalore,6E-2769/629,"8,763"
47,Air India,13:30,16:15,2h 45m,Non Stop,New Delhi,Bangalore,AI-502,"9,210"
48,IndiGo,21:30,00:15,2h 45m,Non Stop,New Delhi,Bangalore,6E-2131,"9,262"
49,IndiGo,13:10,18:00,4h 50m,1 Stop,New Delhi,Bangalore,6E-6191/6754,"9,367"
50,IndiGo,21:05,02:35,5h 30m,1 Stop,New Delhi,Bangalore,6E-671/284,"9,367"
51,IndiGo,06:40,13:10,6h 30m,1 Stop,New Delhi,Bangalore,6E-2331/827,"9,367"
52,IndiGo,11:15,18:00,6h 45m,1 Stop,New Delhi,Bangalore,6E-6022/6754,"9,367"
53,IndiGo,13:35,20:40,7h 05m,1 Stop,New Delhi,Bangalore,6E-972/6055,"9,367"
54,IndiGo,11:15,16:30,5h 15m,1 Stop,New Delhi,Bangalore,6E-2003/356,"9,734"
55,IndiGo,11:30,14:15,2h 45m,Non Stop,New Delhi,Bangalore,6E-2188,"9,997"
56,IndiGo,20:10,23:00,2h 50m,Non Stop,New Delhi,Bangalore,6E-2532,"9,997"
57,Air India,21:15,00:05,2h 50m,Non Stop,New Delhi,Bangalore,AI-504,"10,050"
58,SpiceJet,20:00,22:30,2h 30m,Non Stop,New Delhi,Bangalore,SG-537,"10,259"
59,IndiGo,13:25,17:55,4h 30m,1 Stop,New Delhi,Bangalore,6E-2014/6319,"10,574"
60,IndiGo,13:25,19:20,5h 55m,1 Stop,New Delhi,Bangalore,6E-2014/6417,"10,574"
61,Air Asia,04:55,13:50,8h 55m,1 Stop,New Delhi,Bangalore,I5-791/972,"10,686"
62,IndiGo,18:30,21:15,2h 45m,Non Stop,New Delhi,Bangalore,6E-2015,"10,837"
63,IndiGo,01:50,08:15,6h 25m,1 Stop,New Delhi,Bangalore,6E-2325/413,"11,178"
64,IndiGo,09:55,17:55,8h 00m,1 Stop,New Delhi,Bangalore,6E-2005/6319,"11,178"
65,Go First,20:30,23:20,2h 50m,Non Stop,New Delhi,Bangalore,G8-119,"11,304"
66,IndiGo,17:25,19:55,2h 30m,Non Stop,New Delhi,Bangalore,6E-2487,"11,519"
67,Air Asia,18:45,21:40,2h 55m,Non Stop,New Delhi,Bangalore,I5-747,"11,519"
68,Air Asia,14:55,00:05,9h 10m,1 Stop,New Delhi,Bangalore,I5-549/1130,"11,626"
69,IndiGo,02:00,09:20,7h 20m,1 Stop,New Delhi,Bangalore,6E-177/391,"11,782"
70,Vistara,09:05,11:50,2h 45m,Non Stop,New Delhi,Bangalore,UK-801,"12,045"
71,Vistara,14:15,17:05,2h 50m,Non Stop,New Delhi,Bangalore,UK-819,"12,045"
72,Vistara,17:35,20:25,2h 50m,Non Stop,New Delhi,Bangalore,UK-813,"12,045"
73,Go First,10:40,15:05,4h 25m,1 Stop,New Delhi,Bangalore,G8-286,"12,166"
74,IndiGo,07:55,13:10,5h 15m,1 Stop,New Delhi,Bangalore,6E-2774/827,"12,202"
75,IndiGo,15:15,20:30,5h 15m,1 Stop,New Delhi,Bangalore,6E-6187/979,"12,202"
76,IndiGo,11:55,20:30,8h 35m,1 Stop,New Delhi,Bangalore,6E-204/979,"12,202"
77,IndiGo,08:40,14:25,5h 45m,1 Stop,New Delhi,Bangalore,6E-2175/498,"12,254"
78,IndiGo,07:20,14:25,7h 05m,1 Stop,New Delhi,Bangalore,6E-7403/498,"12,254"
79,IndiGo,18:00,23:40,5h 40m,1 Stop,New Delhi,Bangalore,6E-6823/6505,"12,385"
80,Air India,19:20,00:20,5h 00m,1 Stop,New Delhi,Bangalore,AI-811/566,"12,885"
81,Air India,12:20,00:20,12h 00m,1 Stop,New Delhi,Bangalore,AI-431/566,"12,885"
82,Vistara,18:40,16:00,21h 20m,1 Stop,New Delhi,Bangalore,UK-855/868,"12,885"
83,IndiGo,06:50,12:05,5h 15m,1 Stop,New Delhi,Bangalore,6E-2076/406,"13,042"
84,Go First,15:45,23:35,7h 50m,1 Stop,New Delhi,Bangalore,G8-392/325,"13,063"
85,IndiGo,10:10,17:20,7h 10m,1 Stop,New Delhi,Bangalore,6E-5042/6402,"13,094"
86,Air India,10:00,18:20,8h 20m,1 Stop,New Delhi,Bangalore,AI-865/607,"13,200"
87,Air India,22:00,07:50,9h 50m,1 Stop,New Delhi,Bangalore,AI-605/603,"13,200"
88,Air India,08:00,18:20,10h 20m,1 Stop,New Delhi,Bangalore,AI-665/607,"13,200"
89,Air India,07:00,18:20,11h 20m,1 Stop,New Delhi,Bangalore,AI-887/607,"13,200"
90,Air India,20:00,07:50,11h 50m,1 Stop,New Delhi,Bangalore,AI-805/603,"13,200"
91,Air India,22:00,11:10,13h 10m,1 Stop,New Delhi,Bangalore,AI-605/639,"13,200"
92,Air India,17:50,07:50,14h 00m,2 Stop(s),New Delhi,Bangalore,AI-441/603,"13,200"
93,Air India,20:00,11:10,15h 10m,1 Stop,New Delhi,Bangalore,AI-805/639,"13,200"
94,Vistara,05:55,21:50,15h 55m,1 Stop,New Delhi,Bangalore,UK-913/916,"13,200"
95,Air India,15:05,07:50,16h 45m,2 Stop(s),New Delhi,Bangalore,AI-636/603,"13,200"
96,Air India,17:50,11:10,17h 20m,2 Stop(s),New Delhi,Bangalore,AI-441/639,"13,200"
97,Air India,14:00,07:50,17h 50m,1 Stop,New Delhi,Bangalore,AI-863/603,"13,200"
98,Air India,15:05,11:10,20h 05m,2 Stop(s),New Delhi,Bangalore,AI-636/639,"13,200"
99,Air India,14:00,11:10,21h 10m,1 Stop,New Delhi,Bangalore,AI-863/639,"13,200"
100,Air India,10:00,07:50,21h 50m,1 Stop,New Delhi,Bangalore,AI-865/603,"13,200"
101,Air India,08:00,07:50,23h 50m,1 Stop,New Delhi,Bangalore,AI-665/603,"13,200"
102,Air India,07:00,07:50,24h 50m,1 Stop,New Delhi,Bangalore,AI-887/603,"13,200"
103,Vistara,21:40,00:20,2h 40m,Non Stop,New Delhi,Bangalore,UK-807,"13,305"
104,Vistara,16:05,18:50,2h 45m,Non Stop,New Delhi,Bangalore,UK-817,"13,305"
105,Vistara,19:50,22:40,2h 50m,Non Stop,New Delhi,Bangalore,UK-809,"13,305"
106,SpiceJet,17:05,16:50,23h 45m,1 Stop,New Delhi,Bangalore,SG-8938/538,"13,539"
107,Air Asia,07:10,15:25,8h 15m,1 Stop,New Delhi,Bangalore,I5-783/1983,"13,620"
108,SpiceJet,06:40,19:25,12h 45m,1 Stop,New Delhi,Bangalore,SG-2954/3024,"13,684"
109,Air Asia,12:50,21:40,8h 50m,2 Stop(s),New Delhi,Bangalore,I5-798/974,"13,686"
110,Vistara,12:50,17:45,4h 55m,1 Stop,New Delhi,Bangalore,UK-993/853,"13,725"
111,Vistara,06:00,17:45,11h 45m,1 Stop,New Delhi,Bangalore,UK-975/853,"13,725"
112,Go First,09:00,17:05,8h 05m,1 Stop,New Delhi,Bangalore,G8-3168/375,"13,931"
113,Go First,06:20,11:40,5h 20m,1 Stop,New Delhi,Bangalore,G8-165/273,"13,934"
114,IndiGo,05:45,12:10,6h 25m,1 Stop,New Delhi,Bangalore,6E-2008/703,"13,987"
115,Vistara,11:40,17:45,6h 05m,1 Stop,New Delhi,Bangalore,UK-945/853,"14,250"
116,Air India,11:10,17:55,6h 45m,2 Stop(s),New Delhi,Bangalore,AI-877/508,"14,250"
117,Air India,07:10,17:55,10h 45m,1 Stop,New Delhi,Bangalore,AI-560/508,"14,460"
118,Vistara,14:45,19:10,4h 25m,1 Stop,New Delhi,Bangalore,UK-899/894,"14,670"
119,Vistara,10:25,19:10,8h 45m,1 Stop,New Delhi,Bangalore,UK-859/894,"14,670"
120,Vistara,14:20,19:15,4h 55m,1 Stop,New Delhi,Bangalore,UK-951/849,"14,775"
121,Vistara,12:50,19:15,6h 25m,1 Stop,New Delhi,Bangalore,UK-993/849,"14,775"
122,Vistara,16:45,23:10,6h 25m,1 Stop,New Delhi,Bangalore,UK-941/857,"14,775"
123,Vistara,10:20,17:45,7h 25m,1 Stop,New Delhi,Bangalore,UK-995/853,"14,775"
124,Vistara,15:30,23:10,7h 40m,1 Stop,New Delhi,Bangalore,UK-933/857,"14,775"
